stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
494,0.0,208.15527,208.40549,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,16,,,0,,False,3,train,0
495,0.0,208.40549,208.65571,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25022302,117,,,0,,False,2,test,1
496,0.0,208.65571,208.90594,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25022302,125,,,0,,False,1,train,1
497,0.0,208.90594,209.15613,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019948,103,,,0,,False,4,train,1
498,0.0,209.15613,209.40633,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019948,136,,,0,,False,1,train,0
499,0.0,209.40633,209.65653,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25019948,119,,,0,,False,1,train,0
500,0.0,209.65653,209.90673,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,90.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019948,206,,,0,,False,2,test,2
501,0.0,209.90673,210.15695,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25022052,221,,,0,,False,0,train,0
502,0.0,210.15695,210.40717,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25022052,91,,,0,,False,2,test,1
503,0.0,210.40717,210.65739,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,90.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25022052,169,,,0,,False,1,train,2
504,0.0,210.65739,210.90762,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25022052,182,,,0,,False,4,train,1
505,0.0,210.90762,211.15781,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,45.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019448,97,,,0,,False,5,test,1
506,0.0,211.15781,211.408,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,45.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019448,116,,,0,,False,2,test,1
