stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,contrast,phase,size,temporal_frequency,Dir,frame,coherence,spatial_frequency,color,x_position,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1289,0.0,397.6262,397.8764,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25020275,33,,,0,,False,8,test,1
1290,0.0,397.8764,398.1266,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,45.0,0.25020275,78,,,0,,False,7,train,1
1291,0.0,398.1266,398.37681,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,20.0,null,0.0,0.25020275,27,,,0,,False,3,train,0
1292,0.0,398.37681,398.62701,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,0.0,0.25020275,233,,,0,,False,4,train,0
1293,0.0,398.62701,398.87722,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,45.0,0.25020725,104,,,0,,False,5,test,1
1294,0.0,398.87722,399.12742,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,0.0,0.25020725,129,,,0,,False,2,test,0
1295,0.0,399.12742,399.37763,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,45.0,0.25020725,166,,,0,,False,2,test,1
1296,0.0,399.37763,399.62784,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25020725,70,,,0,,False,4,train,2
1297,0.0,399.62784,399.87805,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,0.0,0.25021275,120,,,0,,False,3,train,0
1298,0.0,399.87805,400.12826,40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,45.0,0.25021275,49,,,0,,False,8,test,1
1299,0.0,400.12826,400.37848,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,0.0,0.25021275,157,,,0,,False,4,train,0
1300,0.0,400.37848,400.62869,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,90.0,0.25021275,151,,,0,,False,9,train,2
1301,0.0,400.62869,400.8789,10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,45.0,0.25020725,219,,,0,,False,4,train,1
