stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,color,size,spatial_frequency,x_position,frame,contrast,stimulus_name,orientation,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2039,0.0,594.53258,594.78281,-10.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,156,,,0,,False,10,train,2
2040,0.0,594.78281,595.03303,-20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,215,,,0,,False,4,train,0
2041,0.0,595.03303,595.28323,40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,81,,,0,,False,7,train,0
2042,0.0,595.28323,595.53342,-20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,215,,,0,,False,5,test,0
2043,0.0,595.53342,595.78362,-40.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,238,,,0,,False,7,train,2
2044,0.0,595.78362,596.03382,40.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,219,,,0,,False,8,test,1
2045,0.0,596.03382,596.28404,-20.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,202,,,0,,False,9,train,2
2046,0.0,596.28404,596.53427,-20.0,null,"[20.0, 20.0]",0.08,40.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,234,,,0,,False,6,train,2
2047,0.0,596.53427,596.7845,-40.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,117,,,0,,False,9,train,2
2048,0.0,596.7845,597.03472,40.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,172,,,0,,False,8,test,0
