stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3129,0.0,872.17303,872.42323,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,43,,,0,,False,12,train,0
3130,0.0,872.42323,872.67344,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,53,,,0,,False,13,train,1
3131,0.0,872.67344,872.92364,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,138,,,0,,False,11,test,1
3132,0.0,872.92364,873.17384,0.8,"[20.0, 20.0]",null,null,4.0,30.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,55,,,0,,False,13,train,1
3133,0.0,873.17384,873.42405,0.8,"[20.0, 20.0]",null,null,4.0,20.0,20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020507,169,,,0,,False,9,train,0
3134,0.0,873.42405,873.67425,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020507,190,,,0,,False,10,train,0
3135,0.0,873.67425,873.92446,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020507,29,,,0,,False,13,train,1
3136,0.0,873.92446,874.17466,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020507,152,,,0,,False,13,train,1
3137,0.0,874.17466,874.42487,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,199,,,0,,False,14,test,2
3138,0.0,874.42487,874.67509,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,206,,,0,,False,9,train,1
3139,0.0,874.67509,874.9253,0.8,"[20.0, 20.0]",null,null,4.0,30.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,175,,,0,,False,13,train,0
3140,0.0,874.9253,875.17551,0.8,"[20.0, 20.0]",null,null,4.0,30.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021243,19,,,0,,False,12,train,2
3141,0.0,875.17551,875.42572,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,56,,,0,,False,13,train,0
3142,0.0,875.42572,875.67593,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,146,,,0,,False,13,train,1
3143,0.0,875.67593,875.92613,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,0.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,102,,,0,,False,13,train,2
3144,0.0,875.92613,876.17634,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,58,,,0,,False,12,train,1
3145,0.0,876.17634,876.42655,0.8,"[20.0, 20.0]",null,null,4.0,10.0,30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,34,,,0,,False,12,train,0
3146,0.0,876.42655,876.67676,0.8,"[20.0, 20.0]",null,null,4.0,10.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,24,,,0,,False,10,train,1
3147,0.0,876.67676,876.92696,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,100,,,0,,False,12,train,2
3148,0.0,876.92696,877.17717,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,54,,,0,,False,12,train,2
3149,0.0,877.17717,877.42739,0.8,"[20.0, 20.0]",null,null,4.0,20.0,20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,169,,,0,,False,10,train,0
3150,0.0,877.42739,877.67762,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,67,,,0,,False,14,test,2
3151,0.0,877.67762,877.92784,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,118,,,0,,False,11,test,0
3152,0.0,877.92784,878.17806,0.8,"[20.0, 20.0]",null,null,4.0,10.0,0.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,220,,,0,,False,12,train,0
3153,0.0,878.17806,878.42826,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,237,,,0,,False,10,train,2
3154,0.0,878.42826,878.67846,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,9,,,0,,False,13,train,1
3155,0.0,878.67846,878.92865,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,145,,,0,,False,12,train,2
