stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
370,0.0,182.7045,182.95471,0.8,gabors,0.0,null,null,"[20.0, 20.0]",20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,161,,,0,,False,1,train,2
371,0.0,182.95471,183.20492,0.8,gabors,10.0,null,null,"[20.0, 20.0]",-10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,89,,,0,,False,3,train,1
372,0.0,183.20492,183.45513,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",0.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,188,,,0,,False,1,train,1
373,0.0,183.45513,183.70535,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,108,,,0,,False,3,train,2
374,0.0,183.70535,183.95556,0.8,gabors,30.0,null,null,"[20.0, 20.0]",30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,26,,,0,,False,3,train,1
375,0.0,183.95556,184.20578,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",-40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,28,,,0,,False,2,test,0
376,0.0,184.20578,184.456,0.8,gabors,20.0,null,null,"[20.0, 20.0]",40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,192,,,0,,False,0,train,0
377,0.0,184.456,184.7062,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,58,,,0,,False,1,train,1
378,0.0,184.7062,184.9564,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,75,,,0,,False,1,train,1
379,0.0,184.9564,185.2066,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,25,,,0,,False,2,test,1
380,0.0,185.2066,185.4568,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",-10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020041,48,,,0,,False,4,train,1
381,0.0,185.4568,185.70702,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021959,193,,,0,,False,0,train,1
382,0.0,185.70702,185.95724,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021959,194,,,0,,False,0,train,2
383,0.0,185.95724,186.20746,0.8,gabors,10.0,null,null,"[20.0, 20.0]",10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021959,53,,,0,,False,2,test,2
384,0.0,186.20746,186.45768,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",20.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021959,121,,,0,,False,1,train,0
