unit_id,selection_role,group,direction,rows_or_columns_removed,model,remaining_rows,remaining_columns,threshold_center_x_px,threshold_center_y_px,threshold_area_deg2,threshold_component_touches_crop_edge,original_threshold_component_censored,original_peak_removed,crop_stratum,success,at_bound,baseline,center_x_px,center_y_px,sigma_x_px,sigma_y_px,data_rmse,ring_modulation_rms,major_sigma_deg,minor_sigma_deg,major_sigma_ratio,absolute_log2_major_sigma_ratio,center_error_deg,threshold_area_ratio
951869357,V1 typical,V1,right,3,Baseline + DC ring,9,6,4.6667,3.3333,300,True,False,False,component intact,True,False,1.8468904,4.6230473,3.2256611,0.9143232,0.586647,1.8072998,0.00078982585,9.143232,5.86647,0.98784854,0.017638238,0.22247955,1
951869357,V1 typical,V1,right,4,Allen no baseline,9,5,4,3,100,True,True,True,original peak removed,False,False,0,29.904925,3.0868962,5.0358684,0.69158799,,,50.358684,6.9158799,3.33913,1.7394723,250.53401,0.33333333
951869357,V1 typical,V1,right,4,Baseline screen-bounded,9,5,4,3,100,True,True,True,original peak removed,True,True,1.7168981,3.6493567,3.1038625,0.35,0.61340629,1.6820417,,6.1340629,3.5,0.66273317,0.59349997,9.8148427,0.33333333
951869357,V1 typical,V1,right,4,Baseline extended,9,5,4,3,100,True,True,True,original peak removed,True,True,1.7168981,3.6493566,3.1038625,0.35,0.61340623,1.6820417,,6.1340623,3.5,0.66273315,0.59350001,9.8148429,0.33333333
951869357,V1 typical,V1,right,4,Baseline + DC ring,9,5,4,3,100,True,True,True,original peak removed,True,True,1.7168982,3.6493567,3.1038625,0.35,0.61340622,1.6820417,1.2430847e-08,6.1340622,3.5,0.6627333,0.59349968,9.8148413,0.33333333
951868602,V1 upper quartile,V1,top,0,Allen no baseline,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,0,4.9436385,3.3555366,2.4362766,2.4611452,,,24.611452,24.362766,1,0,0,1
951868602,V1 upper quartile,V1,top,0,Baseline screen-bounded,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9947726,5.1088831,3.2878107,1.487704,1.6614797,2.7214474,,16.614797,14.87704,1,0,0,1
951868602,V1 upper quartile,V1,top,0,Baseline extended,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9947849,5.1088817,3.28781,1.4877017,1.6614748,2.7214474,,16.614748,14.877017,1,0,0,1
951868602,V1 upper quartile,V1,top,0,Baseline + DC ring,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,5.0435694,5.1105989,3.2886147,1.4761541,1.6481358,2.721758,0.84411355,16.481358,14.761541,1,0,0,1
951868602,V1 upper quartile,V1,top,1,Allen no baseline,8,9,5.1111,3.3333,900,False,False,False,component intact,True,False,0,4.9522759,3.2745973,2.3681709,2.5683007,,,25.683007,23.681709,1.0435389,0.061484392,0.81398854,1
951868602,V1 upper quartile,V1,top,1,Baseline screen-bounded,8,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9341137,5.1061049,3.2445116,1.5025207,1.7337801,2.7617149,,17.337801,15.025207,1.0435157,0.061452285,0.43388215,1
951868602,V1 upper quartile,V1,top,1,Baseline extended,8,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9341263,5.1061062,3.2445111,1.5025161,1.7337786,2.7617149,,17.337786,15.025161,1.0435179,0.061455309,0.43387719,1
951868602,V1 upper quartile,V1,top,1,Baseline + DC ring,8,9,5.1111,3.3333,900,False,False,False,component intact,True,False,5.0085923,5.1084691,3.2489786,1.4868748,1.7101893,2.7624106,0.98360514,17.101893,14.868748,1.0376507,0.053320909,0.39693263,1
951868602,V1 upper quartile,V1,top,2,Allen no baseline,7,9,5,3.2,1000,True,False,False,component intact,True,False,0,4.9463155,2.9037898,2.3320527,2.9037843,,,29.037843,23.320527,1.1798509,0.23860451,4.5175474,1.1111111
951868602,V1 upper quartile,V1,top,2,Baseline screen-bounded,7,9,5,3.2,1000,True,False,False,component intact,True,False,4.7478329,5.0774475,3.2304279,1.5626421,1.7678603,2.7580725,,17.678603,15.626421,1.0640276,0.089535595,0.65429292,1.1111111
951868602,V1 upper quartile,V1,top,2,Baseline extended,7,9,5,3.2,1000,True,False,False,component intact,True,False,4.747813,5.0774476,3.2304272,1.5626482,1.7678653,2.7580725,,17.678653,15.626482,1.0640338,0.089544002,0.65428498,1.1111111
951868602,V1 upper quartile,V1,top,2,Baseline + DC ring,7,9,5,3.2,1000,True,False,False,component intact,True,False,4.861867,5.080194,3.2519325,1.5394885,1.7184247,2.7597288,1.0735258,17.184247,15.394885,1.0426475,0.060251481,0.47644937,1.1111111
951868602,V1 upper quartile,V1,top,3,Allen no baseline,6,9,5,3.5,600,True,True,True,original peak removed,True,False,0,4.9230495,2.6227295,2.3171927,3.0824782,,,30.824782,23.171927,1.2524569,0.32476093,7.3309632,0.66666667
951868602,V1 upper quartile,V1,top,3,Baseline screen-bounded,6,9,5,3.5,600,True,True,True,original peak removed,True,False,5.1926332,5.0703256,3.6962892,1.4017822,1.3191522,2.461388,,14.017822,13.191522,0.84369507,0.24520642,4.102942,0.66666667
951868602,V1 upper quartile,V1,top,3,Baseline extended,6,9,5,3.5,600,True,True,True,original peak removed,True,False,5.192633,5.0703261,3.6962904,1.4017832,1.3191504,2.461388,,14.017832,13.191504,0.84369817,0.24520112,4.1029592,0.66666667
951868602,V1 upper quartile,V1,top,3,Baseline + DC ring,6,9,5,3.5,600,True,True,True,original peak removed,True,False,5.2056684,5.0706492,3.6984863,1.3980545,1.3139544,2.4614226,0.31116161,13.980545,13.139544,0.84826412,0.23741455,4.1181398,0.66666667
951868602,V1 upper quartile,V1,top,4,Allen no baseline,5,9,5,4,300,True,True,True,original peak removed,False,False,0,4.8109525,-53.452264,2.3904654,13.21096,,,132.1096,23.904654,5.3678102,2.4243337,568.07955,0.33333333
951868602,V1 upper quartile,V1,top,4,Baseline screen-bounded,5,9,5,4,300,True,True,True,original peak removed,True,True,5.4758455,5.092606,4,1.2300406,1.0880109,2.5434338,,12.300406,10.880109,0.74032837,0.43376279,7.1237524,0.33333333
951868602,V1 upper quartile,V1,top,4,Baseline extended,5,9,5,4,300,True,True,True,original peak removed,True,False,5.451793,5.0895903,3.9513822,1.2354126,1.1271089,2.5432321,,12.354126,11.271089,0.74356389,0.42747139,6.6385254,0.33333333
951868602,V1 upper quartile,V1,top,4,Baseline + DC ring,5,9,5,4,300,True,True,True,original peak removed,True,False,5.4552125,5.0899928,3.9559318,1.2343346,1.1232769,2.543234,0.08060671,12.343346,11.232769,0.74892771,0.41710163,6.6763516,0.33333333
951868602,V1 upper quartile,V1,bottom,0,Allen no baseline,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,0,4.9436385,3.3555366,2.4362766,2.4611452,,,24.611452,24.362766,1,0,0,1
951868602,V1 upper quartile,V1,bottom,0,Baseline screen-bounded,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9947726,5.1088831,3.2878107,1.487704,1.6614797,2.7214474,,16.614797,14.87704,1,0,0,1
951868602,V1 upper quartile,V1,bottom,0,Baseline extended,9,9,5.1111,3.3333,900,False,False,False,component intact,True,False,4.9947849,5.1088817,3.28781,1.4877017,1.6614748,2.7214474,,16.614748,14.877017,1,0,0,1
