session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
798911424,V1,point,127,5.09519663e-05,0.535433071,0.999949338,0.031496063,0.0472440945,24.7088055,1.39246289
799864342,HVA,aperture,236,0.000343938831,0.610169492,0.99715611,0.203389831,0.144067797,596.109543,16.0533076
799864342,HVA,point,236,0.000429254636,0.627118644,1.00008586,0.152542373,0.0593220339,46.9471596,4.18715827
799864342,V1,aperture,127,6.6717923e-05,0.566929134,0.999305109,0.196850394,0.236220472,388.829148,55.860555
799864342,V1,point,127,3.24189072e-05,0.527559055,0.997917119,0.0157480315,0.0393700787,20.7752512,0.792270602
816200189,HVA,aperture,250,0.000167494397,0.588,0.999995804,0.2,0.216,637.490776,26.5760815
816200189,HVA,point,250,0.000109241687,0.564,0.999702433,0.104,0.076,45.8265454,2.15006616
816200189,V1,aperture,93,0.000114065458,0.537634409,1.00160663,0.301075269,0.376344086,249.850681,13.2828366
816200189,V1,point,93,4.99623724e-05,0.52688172,1.00074795,0.0107526882,0.0322580645,17.0969337,0.684040333
819186360,HVA,aperture,358,0.000312832483,0.583798883,0.996349926,0.231843575,0.201117318,863.405643,9.18336457
819186360,HVA,point,358,0.000247132454,0.583798883,0.999441195,0.156424581,0.120111732,64.6745191,1.24348855
819701982,HVA,aperture,379,0.000366808842,0.577836412,0.999846397,0.192612137,0.200527704,946.772429,55.1507348
819701982,HVA,point,379,0.00049576599,0.591029024,0.999326176,0.0976253298,0.0817941953,72.0552322,5.73946201
821695405,HVA,aperture,294,0.000442734947,0.62244898,1.00124128,0.210884354,0.224489796,819.527385,70.2417149
821695405,HVA,point,294,0.00053777319,0.62244898,1.00146922,0.105442177,0.108843537,54.6200075,1.59159365
821695405,V1,aperture,40,0.00114721846,0.75,0.997103247,0.225,0.2,105.849189,7.68999459
821695405,V1,point,40,0.000513860537,0.65,0.998815566,0.075,0.05,7.48934089,0.761986122
829720705,HVA,aperture,362,0.000318793835,0.574585635,1.00019783,0.23480663,0.237569061,1049.87525,41.5270496
829720705,HVA,point,362,0.000184786271,0.549723757,1.00017854,0.0939226519,0.102209945,70.609432,1.71829309
829720705,V1,aperture,66,0.000350671747,0.621212121,0.999418452,0.257575758,0.287878788,142.919597,3.69615985
829720705,V1,point,66,0.000555528234,0.606060606,0.998105577,0.0303030303,0.0151515152,10.3023001,0.601466365
831882777,HVA,aperture,378,0.00110099049,0.64021164,1.00098905,0.222222222,0.264550265,1049.07902,26.2921571
831882777,HVA,point,378,0.000918429651,0.62962963,1.00365602,0.119047619,0.12962963,72.5744895,1.33480052
831882777,V1,aperture,77,0.000202583975,0.597402597,1.00122677,0.233766234,0.272727273,186.038976,8.15799343
831882777,V1,point,77,0.000515834199,0.584415584,1.00029619,0,0.038961039,13.5229857,1.24125495
835479236,HVA,aperture,231,0.000341657994,0.584415584,0.999837645,0.251082251,0.246753247,632.818186,14.7943113
835479236,HVA,point,231,0.000481696942,0.584415584,0.99979843,0.134199134,0.103896104,49.9616087,3.53809875
835479236,V1,aperture,74,7.35512297e-06,0.513513514,0.994772858,0.378378378,0.27027027,231.224135,14.2230467
