stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,frame,coherence,x_position,contrast,color,size,Dir,spatial_frequency,orientation,temporal_frequency,Speed,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1095,0.0,349.11342,349.36364,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,40.0,0.2502162,216,,,0,,False,4,train,2
1096,0.0,349.36364,349.61385,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502162,184,,,0,,False,5,test,0
1097,0.0,349.61385,349.86405,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,10.0,0.2502013,132,,,0,,False,5,test,1
1098,0.0,349.86405,350.11426,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-10.0,0.2502013,90,,,0,,False,5,test,0
1099,0.0,350.11426,350.36446,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,30.0,0.2502013,187,,,0,,False,4,train,1
1100,0.0,350.36446,350.61466,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,10.0,0.2502013,126,,,0,,False,7,train,1
1101,0.0,350.61466,350.86486,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.2502062,101,,,0,,False,4,train,1
1102,0.0,350.86486,351.11507,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-40.0,0.2502062,211,,,0,,False,2,test,0
1103,0.0,351.11507,351.36528,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2502062,134,,,0,,False,6,train,2
1104,0.0,351.36528,351.61548,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502062,59,,,0,,False,3,train,0
1105,0.0,351.61548,351.8657,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-40.0,0.2502138,66,,,0,,False,3,train,1
1106,0.0,351.8657,352.11591,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-10.0,0.2502138,76,,,0,,False,2,test,0
1107,0.0,352.11591,352.36612,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,40.0,0.2502138,73,,,0,,False,7,train,2
1108,0.0,352.36612,352.61634,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502138,242,,,0,,False,1,train,2
1109,0.0,352.61634,352.86655,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502162,31,,,0,,False,5,test,0
1110,0.0,352.86655,353.11677,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.2502162,3,,,0,,False,3,train,1
1111,0.0,353.11677,353.36699,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,20.0,0.2502162,142,,,0,,False,2,test,0
1112,0.0,353.36699,353.6172,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502162,191,,,0,,False,5,test,2
