stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
101,0.0,103.84051,104.09072,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,-30.0,"[3644.93333333, 3644.93333333]",0.25021456,81,0.01851336,-0.61961464,8,0.16976989,True,0,train,0
102,0.0,104.09072,104.34094,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,-30.0,"[3644.93333333, 3644.93333333]",0.25021456,82,0.0077009894,-0.64784868,7,0.15597458,True,0,train,2
103,0.0,104.34094,104.59115,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,10.0,"[3644.93333333, 3644.93333333]",0.25021456,83,0.027966411,-0.57382738,7,0.26089992,True,0,train,1
104,0.0,104.59115,104.84136,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,30.0,"[3644.93333333, 3644.93333333]",0.25021456,84,0.04763463,-0.56471062,5,0.1713389,True,0,train,2
105,0.0,104.84136,105.09157,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,10.0,"[3644.93333333, 3644.93333333]",0.25020294,85,0.014021978,-0.63303644,8,0.14985157,True,0,train,1
106,0.0,105.09157,105.34177,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020294,86,0.15497086,-0.81086703,7,0.11457827,True,0,train,2
107,0.0,105.34177,105.59197,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,0.0,"[3644.93333333, 3644.93333333]",0.25020294,35,0.0074806252,-0.65295485,8,0.27272318,True,2,test,0
108,0.0,105.59197,105.84218,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,30.0,"[3644.93333333, 3644.93333333]",0.25020294,87,0.21483769,-0.69681158,7,0.11713427,True,0,train,2
109,0.0,105.84218,106.0924,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,20.0,"[3644.93333333, 3644.93333333]",0.25021956,88,-0.072459483,-0.62902919,8,0.22172253,True,0,train,0
110,0.0,106.0924,106.34262,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,20.0,"[3644.93333333, 3644.93333333]",0.25021956,63,0.075725784,-0.61621824,7,0.17314711,True,1,train,1
