stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1652,0.0,501.76291,502.01312,null,gabors,0.0,20.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,229,,,0,,False,5,test,0
1653,0.0,502.01312,502.26333,null,gabors,0.0,-40.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,141,,,0,,False,7,train,0
1654,0.0,502.26333,502.51354,null,gabors,90.0,-20.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,22,,,0,,False,7,train,2
1655,0.0,502.51354,502.76376,null,gabors,0.0,-10.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,179,,,0,,False,8,test,0
1656,0.0,502.76376,503.01397,null,gabors,45.0,-20.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,15,,,0,,False,9,train,1
1657,0.0,503.01397,503.26417,null,gabors,90.0,30.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,198,,,0,,False,6,train,2
1658,0.0,503.26417,503.51437,null,gabors,0.0,0.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,112,,,0,,False,8,test,0
1659,0.0,503.51437,503.76458,null,gabors,45.0,-40.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,193,,,0,,False,10,train,1
1660,0.0,503.76458,504.01478,null,gabors,0.0,-30.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,80,,,0,,False,7,train,0
1661,0.0,504.01478,504.265,null,gabors,90.0,20.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,39,,,0,,False,9,train,2
1662,0.0,504.265,504.51521,null,gabors,0.0,-30.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,211,,,0,,False,7,train,0
1663,0.0,504.51521,504.76543,null,gabors,0.0,0.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,43,,,0,,False,8,test,0
1664,0.0,504.76543,505.01565,null,gabors,45.0,30.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021753,221,,,0,,False,4,train,1
1665,0.0,505.01565,505.26585,null,gabors,0.0,0.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,138,,,0,,False,7,train,0
1666,0.0,505.26585,505.51605,null,gabors,90.0,-10.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,156,,,0,,False,6,train,2
1667,0.0,505.51605,505.76625,null,gabors,45.0,-40.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019997,66,,,0,,False,5,test,1
