stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,spatial_frequency,x_position,y_position,phase,size,contrast,color,frame,orientation,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1882,0.0,565.47964,565.72985,4.0,0.08,10.0,30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020824,80,,,0,,False,8,test,1
1883,0.0,565.72985,565.98006,4.0,0.08,-10.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020824,98,,,0,,False,8,test,1
1884,0.0,565.98006,566.23027,4.0,0.08,20.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020824,22,,,0,,False,5,test,0
1885,0.0,566.23027,566.48048,4.0,0.08,0.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021676,237,,,0,,False,5,test,2
1886,0.0,566.48048,566.7307,4.0,0.08,-40.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021676,90,,,0,,False,5,test,1
1887,0.0,566.7307,566.98092,4.0,0.08,10.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25021676,31,,,0,,False,5,test,1
1888,0.0,566.98092,567.23113,4.0,0.08,-20.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021676,29,,,0,,False,11,test,0
1889,0.0,567.23113,567.48133,4.0,0.08,40.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020074,148,,,0,,False,7,train,0
1890,0.0,567.48133,567.73154,4.0,0.08,20.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020074,86,,,0,,False,10,train,2
1891,0.0,567.73154,567.98174,4.0,0.08,20.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25020074,85,,,0,,False,5,test,2
1892,0.0,567.98174,568.23194,4.0,0.08,20.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020074,91,,,0,,False,10,train,0
1893,0.0,568.23194,568.48216,4.0,0.08,-20.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022426,21,,,0,,False,5,test,2
1894,0.0,568.48216,568.73239,4.0,0.08,-20.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022426,194,,,0,,False,10,train,2
1895,0.0,568.73239,568.98261,4.0,0.08,40.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022426,229,,,0,,False,7,train,0
1896,0.0,568.98261,569.23283,4.0,0.08,40.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022426,209,,,0,,False,6,train,0
1897,0.0,569.23283,569.48303,4.0,0.08,-40.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019574,90,,,0,,False,6,train,1
1898,0.0,569.48303,569.73323,4.0,0.08,-20.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019574,232,,,0,,False,9,train,0
