outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
829720705,V1,total_group_map,observed_rf,1.15,13,0.2611111111111112
831882777,V1,within_area_location,ccf_anatomy,0.2,13,0.13127322405467534
831882777,V1,within_area_location,ccf_anatomy,0.35,13,0.0929107865027826
831882777,V1,within_area_location,ccf_anatomy,0.55,13,0.07632727102380014
831882777,V1,within_area_location,ccf_anatomy,0.8,13,0.08944558234417067
831882777,V1,within_area_location,ccf_anatomy,1.15,13,0.09056291911693956
831882777,V1,within_area_location,registered_map,0.2,13,0.07632727102380014
831882777,V1,within_area_location,registered_map,0.35,13,0.07632727102380014
831882777,V1,within_area_location,registered_map,0.55,13,0.09056291911693956
831882777,V1,within_area_location,registered_map,0.8,13,0.08832501517702314
831882777,V1,within_area_location,registered_map,1.15,13,0.08944558234417067
831882777,V1,within_area_location,observed_rf,0.2,13,0.1306818181818182
831882777,V1,within_area_location,observed_rf,0.35,13,0.19050802139037434
831882777,V1,within_area_location,observed_rf,0.55,13,0.2666157372039725
831882777,V1,within_area_location,observed_rf,0.8,13,0.25050505050505056
831882777,V1,within_area_location,observed_rf,1.15,13,0.2384559884559885
831882777,V1,total_group_map,ccf_anatomy,0.2,13,0.13127322405467534
831882777,V1,total_group_map,ccf_anatomy,0.35,13,0.0929107865027826
831882777,V1,total_group_map,ccf_anatomy,0.55,13,0.07781835839633615
831882777,V1,total_group_map,ccf_anatomy,0.8,13,0.08832501517702314
831882777,V1,total_group_map,ccf_anatomy,1.15,13,0.08944558234417067
831882777,V1,total_group_map,registered_map,0.2,13,0.07632727102380014
831882777,V1,total_group_map,registered_map,0.35,13,0.07632727102380014
831882777,V1,total_group_map,registered_map,0.55,13,0.08944558234417067
831882777,V1,total_group_map,registered_map,0.8,13,0.08944558234417067
831882777,V1,total_group_map,registered_map,1.15,13,0.09056291911693956
831882777,V1,total_group_map,observed_rf,0.2,13,0.1306818181818182
831882777,V1,total_group_map,observed_rf,0.35,13,0.19050802139037434
831882777,V1,total_group_map,observed_rf,0.55,13,0.2666157372039725
831882777,V1,total_group_map,observed_rf,0.8,13,0.25050505050505056
831882777,V1,total_group_map,observed_rf,1.15,13,0.2384559884559885
847657808,V1,within_area_location,ccf_anatomy,0.2,13,0.014755365183526757
847657808,V1,within_area_location,ccf_anatomy,0.35,13,0.047663672260310146
847657808,V1,within_area_location,ccf_anatomy,0.55,13,0.06977659374970165
847657808,V1,within_area_location,ccf_anatomy,0.8,13,0.08944558234417067
