stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1925,0.0,566.18976,566.43997,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,-10.0,0.25020684,239,,,0,,False,4,train,0
1926,0.0,566.43997,566.69018,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,20.0,10.0,0.25020684,135,,,0,,False,8,test,1
1927,0.0,566.69018,566.94038,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-10.0,30.0,0.25020684,37,,,0,,False,7,train,1
1928,0.0,566.94038,567.19059,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,-30.0,0.25020684,176,,,0,,False,5,test,0
1929,0.0,567.19059,567.4408,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,20.0,0.25021316,231,,,0,,False,4,train,2
1930,0.0,567.4408,567.69102,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-30.0,40.0,0.25021316,102,,,0,,False,11,test,2
1931,0.0,567.69102,567.94123,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,10.0,20.0,0.25021316,231,,,0,,False,5,test,2
1932,0.0,567.94123,568.19144,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,30.0,0.25021316,49,,,0,,False,7,train,0
1933,0.0,568.19144,568.44165,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,-20.0,0.25020934,67,,,0,,False,8,test,1
1934,0.0,568.44165,568.69186,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-20.0,10.0,0.25020934,25,,,0,,False,7,train,2
1935,0.0,568.69186,568.94207,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,20.0,-20.0,0.25020934,212,,,0,,False,6,train,2
1936,0.0,568.94207,569.19228,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,30.0,-30.0,0.25020934,13,,,0,,False,7,train,1
1937,0.0,569.19228,569.44248,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-40.0,-40.0,0.25020566,242,,,0,,False,4,train,2
1938,0.0,569.44248,569.69269,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,30.0,20.0,0.25020566,151,,,0,,False,6,train,1
1939,0.0,569.69269,569.9429,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-20.0,-20.0,0.25020566,172,,,0,,False,8,test,2
1940,0.0,569.9429,570.1931,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-40.0,30.0,0.25020566,179,,,0,,False,7,train,1
