stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
80,0.0,104.36413,104.61434,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,30.0,4.0,null,0.8,0.25020738,10,,,0,,False,1,train,0
81,0.0,104.61434,104.86455,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,-20.0,4.0,null,0.8,0.25021262,68,,,0,,False,0,train,0
82,0.0,104.86455,105.11477,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,-20.0,4.0,null,0.8,0.25021262,68,,,0,,False,1,train,0
83,0.0,105.11477,105.36498,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,90.0,10.0,4.0,null,0.8,0.25021262,69,,,0,,False,0,train,2
84,0.0,105.36498,105.61519,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,45.0,40.0,4.0,null,0.8,0.25021262,70,,,0,,False,0,train,1
85,0.0,105.61519,105.86542,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,45.0,0.0,4.0,null,0.8,0.25022988,71,,,0,,False,0,train,1
86,0.0,105.86542,106.11565,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,-30.0,4.0,null,0.8,0.25022988,72,,,0,,False,0,train,0
87,0.0,106.11565,106.36588,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,-10.0,4.0,null,0.8,0.25022988,30,,,0,,False,1,train,2
88,0.0,106.36588,106.61611,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,45.0,-30.0,4.0,null,0.8,0.25022988,73,,,0,,False,0,train,1
89,0.0,106.61611,106.86629,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,40.0,4.0,null,0.8,0.25018262,39,,,0,,False,1,train,1
90,0.0,106.86629,107.11648,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,45.0,10.0,4.0,null,0.8,0.25018262,74,,,0,,False,0,train,1
91,0.0,107.11648,107.36666,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,45.0,10.0,4.0,null,0.8,0.25018262,74,,,0,,False,1,train,1
92,0.0,107.36666,107.61684,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,90.0,-10.0,4.0,null,0.8,0.25018262,75,,,0,,False,0,train,2
93,0.0,107.61684,107.86706,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,90.0,30.0,4.0,null,0.8,0.25021738,76,,,0,,False,0,train,2
94,0.0,107.86706,108.11728,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,90.0,-40.0,4.0,null,0.8,0.25021738,77,,,0,,False,0,train,2
95,0.0,108.11728,108.36749,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,45.0,-10.0,4.0,null,0.8,0.25021738,78,,,0,,False,0,train,1
96,0.0,108.36749,108.61771,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,90.0,20.0,4.0,null,0.8,0.25021738,79,,,0,,False,0,train,2
97,0.0,108.61771,108.86791,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,0.0,20.0,4.0,null,0.8,0.25020012,80,,,0,,False,0,train,0
98,0.0,108.86791,109.11811,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,45.0,10.0,4.0,null,0.8,0.25020012,81,,,0,,False,0,train,1
99,0.0,109.11811,109.36831,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,90.0,-40.0,4.0,null,0.8,0.25020012,82,,,0,,False,0,train,2
100,0.0,109.36831,109.61851,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,0.0,4.0,null,0.8,0.25020012,83,,,0,,False,0,train,0
101,0.0,109.61851,109.86873,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,0.0,-20.0,4.0,null,0.8,0.25022238,84,,,0,,False,0,train,0
102,0.0,109.86873,110.11896,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,45.0,-40.0,4.0,null,0.8,0.25022238,85,,,0,,False,0,train,1
103,0.0,110.11896,110.36918,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,45.0,10.0,4.0,null,0.8,0.25022238,81,,,0,,False,1,train,1
104,0.0,110.36918,110.6194,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,45.0,10.0,4.0,null,0.8,0.25022238,81,,,0,,False,2,test,1
105,0.0,110.6194,110.8696,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,90.0,-20.0,4.0,null,0.8,0.25020012,86,,,0,,False,0,train,2
106,0.0,110.8696,111.1198,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,0.0,4.0,null,0.8,0.25020012,83,,,0,,False,1,train,0
107,0.0,111.1198,111.37,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,0.0,4.0,null,0.8,0.25020012,87,,,0,,False,0,train,0
108,0.0,111.37,111.6202,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,90.0,10.0,4.0,null,0.8,0.25020012,88,,,0,,False,0,train,2
109,0.0,111.6202,111.87042,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,90.0,-20.0,4.0,null,0.8,0.25022238,40,,,0,,False,1,train,2
110,0.0,111.87042,112.12065,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,-40.0,4.0,null,0.8,0.25022238,89,,,0,,False,0,train,0
111,0.0,112.12065,112.37087,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,90.0,0.0,4.0,null,0.8,0.25022238,90,,,0,,False,0,train,2
112,0.0,112.37087,112.62109,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,45.0,30.0,4.0,null,0.8,0.25022238,91,,,0,,False,0,train,1
113,0.0,112.62109,112.87128,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,90.0,10.0,4.0,null,0.8,0.25019262,92,,,0,,False,0,train,2
114,0.0,112.87128,113.12148,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,90.0,-20.0,4.0,null,0.8,0.25019262,86,,,0,,False,1,train,2
115,0.0,113.12148,113.37167,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,45.0,-30.0,4.0,null,0.8,0.25019262,93,,,0,,False,0,train,1
116,0.0,113.37167,113.62186,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,45.0,-30.0,4.0,null,0.8,0.25019262,93,,,0,,False,1,train,1
117,0.0,113.62186,113.87208,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,90.0,40.0,4.0,null,0.8,0.25022238,94,,,0,,False,0,train,2
118,0.0,113.87208,114.12231,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,-20.0,4.0,null,0.8,0.25022238,95,,,0,,False,0,train,2
119,0.0,114.12231,114.37253,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,90.0,30.0,4.0,null,0.8,0.25022238,96,,,0,,False,0,train,2
120,0.0,114.37253,114.62275,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,0.0,20.0,4.0,null,0.8,0.25022238,80,,,0,,False,1,train,0
121,0.0,114.62275,114.87295,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,90.0,10.0,4.0,null,0.8,0.25019512,97,,,0,,False,0,train,2
122,0.0,114.87295,115.12314,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,0.0,4.0,null,0.8,0.25019512,45,,,0,,False,1,train,0
123,0.0,115.12314,115.37334,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,90.0,20.0,4.0,null,0.8,0.25019512,98,,,0,,False,0,train,2
124,0.0,115.37334,115.62353,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,45.0,0.0,4.0,null,0.8,0.25019512,99,,,0,,False,0,train,1
125,0.0,115.62353,115.87375,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,90.0,-30.0,4.0,null,0.8,0.25021988,100,,,0,,False,0,train,2
126,0.0,115.87375,116.12397,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,45.0,10.0,4.0,null,0.8,0.25021988,81,,,0,,False,3,train,1
127,0.0,116.12397,116.37419,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,45.0,-10.0,4.0,null,0.8,0.25021988,101,,,0,,False,0,train,1
128,0.0,116.37419,116.62441,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,0.0,30.0,4.0,null,0.8,0.25021988,49,,,0,,False,1,train,0
129,0.0,116.62441,116.87461,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,-20.0,4.0,null,0.8,0.25020012,11,,,0,,False,1,train,0
130,0.0,116.87461,117.12481,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,45.0,-30.0,4.0,null,0.8,0.25020012,102,,,0,,False,0,train,1
