unit_id,autocorr_tau,err_ac,spike_count_ac
9000492,60.352103134911864,8.05707111822339,369.0
9000493,33.74647238481526,9.249321726671393,63.0
9000494,696.1424029753853,0.0,14.0
9000495,148.02814344415944,166.83069422198335,24.0
9000496,60.57053644043548,7.266355376221317,241.0
9000497,19.690834889131214,12.528599875007998,10.0
9000498,999.9999975758011,9072.704703474656,16.0
9000499,728.2723672867894,0.0,5.0
9000500,999.9999718914909,32850.09551107762,18.0
9000501,59.69115461646125,9.188883676406304,345.0
9000502,37.85865535555918,6.9730125391358655,410.0
9000503,76.1768897502186,14.66542943537572,993.0
9000504,39.17505196794785,3.7511210028407365,271.0
9000505,52.85432202426039,11.274271890332162,352.0
9000506,999.9999999999995,2508.3131486386433,328.0
9000507,999.9999999999999,2405.15763106981,232.0
9000508,186.35154938581846,220.79182525271972,102.0
9000509,7.691124785991912,7.650451542918207,55.0
9000510,999.9999999999999,942.3881454205758,848.0
9000511,999.9999999999999,1308.7317079612594,625.0
9000512,999.9999999999997,1044.0782181716231,1029.0
9000513,4.823993855516414,6.380795608182481,2.0
9000514,44.59132195632332,10.549574921921812,108.0
9000515,77.47099728684533,14.157400849724414,595.0
9000516,999.9999999999998,22669.080527098038,53.0
9000517,464.15935716950503,1773.2337116381334,41.0
9000518,999.999999998565,43038.42359434133,23.0
9000519,999.9999999999952,25856.308957003086,24.0
9000520,1.0000000000123772,1061.6450205294561,24.0
9000521,581.3122656431938,8101.819108987974,24.0
9000522,38.39473006776642,51.05757319037252,35.0
9000523,999.9111417431866,7142.4251615304265,44.0
9000524,999.999999998957,13998.539963459956,71.0
9000525,999.9999999999826,27134.72499349487,50.0
9000526,137.88816165976945,411.87072949369167,41.0
9000527,999.9999999998903,56582.10469379628,16.0
9000528,8.367092828032611,32.788223797381484,20.0
9000529,630.5928644708246,7179.400986027499,29.0
9000530,6.891484287503089,10.51904065774229,35.0
9000531,23.19814660780475,10.127839838378534,15.0
9000532,37.41946458905688,14.86642445086365,32.0
9000533,999.9999999978182,54009.62042185832,30.0
9000534,999.999602787806,23434.94311964213,40.0
9000535,999.9999999997817,18752.42816595596,39.0
9000536,999.9999999999999,22452.338390705027,40.0
9000537,47.48528980838855,13.922194843103911,48.0
9000538,242.69936680266522,791.0385835028204,46.0
9000539,999.9999999998759,14630.269076292294,33.0
9000540,999.99998010504,24126.761254556124,38.0
9000541,999.9999467654827,28446.126279293123,24.0
9000542,4.338879611125311,20.780143609340985,34.0
9000543,140.96066670456568,35.796974047659596,263.0
9000544,724.1480974638497,845.7486460876946,449.0
9000545,999.9999999998612,42160.34477048086,33.0
9000546,43.08950359593112,53.14584573411596,45.0
9000547,34.02302947257031,29.490733391187135,24.0
9000548,1.0000909337807808,239880.2054032417,2.0
9000549,999.9996774415747,40619.902487514766,5.0
9000550,4.5373690557959145,4.416079988301137,54.0
9000551,999.9999999999999,5198.773801019263,106.0
9000552,242.07823134751237,581.4057201524212,58.0
9000553,4.823993858593372,6.380795581051142,2.0
9000554,999.9999999999999,2201.848535479082,515.0
9000555,13.804075752469425,15.596456860874989,26.0
9000556,148.8776842689842,210.71221619019443,55.0
9000557,999.9999999994657,541680.7432248436,11.0
9000558,999.9999999997129,21977.921811454165,36.0
9000559,69.44354258662416,12.858314049331952,169.0
9000560,999.9999844292566,1359.6007069020416,694.0
9000561,999.9957435806638,17150.62504969073,37.0
9000562,34.18401329768861,29.58201473354721,23.0
9000563,999.9999999999997,2201.047206975259,171.0
9000564,156.90433053304764,228.6308510570191,108.0
9000565,999.9999999999999,3366.6298999765586,270.0
9000566,4.823993854950375,6.380795603359099,1.0
9000567,94.61844616692048,61.42243308375248,89.0
9000568,27.742757352124055,13.658118387090816,15.0
