stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1027,0.0,346.59448,346.84469,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,40.0,0.25021143,88,,,0,,False,4,train,2
1028,0.0,346.84469,347.0949,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,40.0,gabors,null,4.0,null,0.8,-30.0,0.25021143,235,,,0,,False,3,train,1
1029,0.0,347.0949,347.34511,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,40.0,gabors,null,4.0,null,0.8,0.0,0.25020357,223,,,0,,False,2,test,0
1030,0.0,347.34511,347.59531,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-10.0,gabors,null,4.0,null,0.8,20.0,0.25020357,17,,,0,,False,3,train,2
1031,0.0,347.59531,347.84551,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,30.0,gabors,null,4.0,null,0.8,-40.0,0.25020357,164,,,0,,False,1,train,2
1032,0.0,347.84551,348.09572,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,10.0,gabors,null,4.0,null,0.8,0.0,0.25020357,89,,,0,,False,7,train,0
1033,0.0,348.09572,348.34593,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,40.0,0.25021643,130,,,0,,False,3,train,0
1034,0.0,348.34593,348.59615,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,40.0,0.25021643,210,,,0,,False,5,test,0
1035,0.0,348.59615,348.84637,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,20.0,gabors,null,4.0,null,0.8,-20.0,0.25021643,90,,,0,,False,5,test,0
1036,0.0,348.84637,349.09658,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,40.0,gabors,null,4.0,null,0.8,40.0,0.25021643,76,,,0,,False,6,train,0
1037,0.0,349.09658,349.34678,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,0.0,0.25020107,179,,,0,,False,3,train,1
1038,0.0,349.34678,349.59699,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,-40.0,0.25020107,41,,,0,,False,5,test,1
1039,0.0,349.59699,349.84719,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-10.0,gabors,null,4.0,null,0.8,-10.0,0.25020107,144,,,0,,False,4,train,2
1040,0.0,349.84719,350.09739,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,20.0,gabors,null,4.0,null,0.8,0.0,0.25020107,115,,,0,,False,5,test,1
