ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951871095,HVA,VISrl,calibration,aperture,-0.00303763538,0.000380091127,2.88486732,2.73200652,255.294133,-0.973701047,0.953899227,2.67340829,2.05631999,1.37781329,True,34,1.72653035,1.72653036,2.18729568e-09,2.73162643,2.88790496,0.953899227,2.03584719,-42.7017602,-27.4426839,14.9242422,2,16.5739141,7.46212108,129.995289,True,False
951871095,HVA,VISrl,calibration,point,-0.00809381733,0.0037786125,2.88442348,2.73189613,394.342847,-1.62791789,0.95864755,11.4486583,9.16149962,5.53770252,True,36,1.72411443,1.72411443,1.05027231e-09,2.72811752,2.8925173,0.95864755,8.71595348,-36.8596571,-25.3546985,10.8477115,2.70071277,4.64365473,4.01661057,127.591532,False,False
951871117,HVA,VISrl,calibration,aperture,0.00103569425,0.00241151329,1.39491754,1.52592682,569.830708,0.0303876959,0.575624076,3.11447673,2.27311347,2.11780355,True,12,0.898775232,0.898775232,1.19524057e-10,1.52351531,1.39388185,0.575624076,2.50179791,-31.0399438,-13.5768428,15.4928335,8.62496366,-20.5003246,1.79627812,581.960432,False,False
951871117,HVA,VISrl,calibration,point,0.00101038542,0.0024611779,1.39490019,1.52592708,692.975317,0.0417093631,0.575025371,3.13415284,2.28999615,2.13183821,True,8,0.898757739,0.898757739,2.01072492e-12,1.5234659,1.3938898,0.575025371,2.5186624,-31.0164456,-13.5926649,16.287238,10.0558958,-20.5135715,1.61967053,713.302154,False,False
951871127,HVA,VISrl,evaluation,aperture,0.00874131576,0.0102297291,1.26915409,1.31904346,943.602549,0.0021095363,0.435600249,6.02893075,4.55789794,3.01551591,True,7,0.769044686,0.769044686,2.73536749e-12,1.30881373,1.26041277,0.435600249,4.53411486,-32.5914913,-7.90007158,18.2461339,11.8918097,-22.2381475,1.53434459,944.983312,False,False
951871127,HVA,VISrl,evaluation,point,0.00871137899,0.0102172923,1.26906943,1.31895065,1061.11406,0.00776638181,0.434977753,6.04163573,4.5684652,3.02257096,True,7,0.768982525,0.768982525,2.44149145e-12,1.30873336,1.26035805,0.434977753,4.54422396,-32.5833058,-7.90835615,18.9322766,12.9387348,-22.2607401,1.46322471,1066.8417,False,False
951871184,HVA,VISrl,evaluation,aperture,-0.0162468313,0.0137430171,1.49103321,1.56078926,1931.23645,0.0566734315,0.661919591,2.54032721,3.15474989,2.99034199,True,21,0.975066257,0.975066291,3.32281755e-08,1.54704624,1.50728004,0.661919591,2.8951397,-59.9999999,-10.272725,40.7068199,11.3298288,-18.3080781,3.59288924,2008.61107,False,False
951871184,HVA,VISrl,evaluation,point,-0.0162539913,0.0136549758,1.49110256,1.56080234,2126.85602,0.0666735753,0.661140776,2.54061851,3.15340878,2.98835928,True,17,0.97516287,0.97516287,1.0976442e-11,1.54714736,1.50735655,0.661140776,2.89412886,-60,-10.3023885,41.044487,12.4608789,-18.2779889,3.29386774,2227.45448,False,False
951871210,HVA,VISrl,evaluation,aperture,0.00209346336,0.00742123188,1.27174896,1.44819744,517.505058,-0.159677896,0.238317931,2.25948771,2.77372269,2.36593214,True,9,0.687270943,0.687270943,2.80037105e-11,1.44077621,1.2696555,0.238317931,2.46638084,-34.2253077,-9.26965124,13.3226028,7.98458506,-33.7756197,1.66854041,463.283425,False,False
951871210,HVA,VISrl,evaluation,point,0.00200462719,0.00766881226,1.27109835,1.44797978,636.560441,-0.111974324,0.237837652,2.28737483,2.80643229,2.39286848,True,9,0.687072752,0.687072752,6.128964e-11,1.44031097,1.26909372,0.237837652,2.49555853,-34.1998015,-9.28192503,14.2873201,9.46620512,-34.2082137,1.50929754,589.022678,False,False
951871352,HVA,VISrl,evaluation,aperture,-0.00409809931,0.000956657481,1.40666016,1.65069462,80.9679358,0.0353112203,0.149086784,1.9788835,2.47226154,0.776567357,True,19,0.639936421,0.639936422,3.78407639e-10,1.64973796,1.41075826,0.149086784,1.7425708,-42.553462,-10.7102397,9.52593204,2,82.7513604,4.76296602,82.9741484,True,False
951871352,HVA,VISrl,evaluation,point,-0.00517876332,0.00105521133,1.40661898,1.65119036,183.744209,-0.0397616421,0.148476374,2.04140843,2.56234492,0.797178837,True,11,0.639996305,0.639996373,6.78359321e-08,1.65013515,1.41179774,0.148476374,1.80031073,-38.7498692,-9.11664029,11.6808363,3.51370216,83.636001,3.32436722,178.749244,False,False
951871381,HVA,VISrl,evaluation,aperture,-0.00220947888,0.000464308823,1.79050325,1.82701342,888.646114,-0.0716588749,0.582658758,0.793091579,1.3089772,0.677599943,True,13,1.02903362,1.02903362,1.24524613e-10,1.82654911,1.79271273,0.582658758,0.926556241,-39.211046,-3.49885418,16.72963,11.6055496,-56.8167287,1.44151984,845.585204,False,False
951871381,HVA,VISrl,evaluation,point,-0.0021890782,0.000464263424,1.79053909,1.82702201,1001.59254,-0.0514394945,0.582485753,0.794389771,1.31018566,0.678038612,True,13,1.02903782,1.02903782,8.09723399e-11,1.82655775,1.79272817,0.582485753,0.927538014,-39.1887665,-3.50678776,17.4861297,12.6913326,-56.882381,1.37780092,966.509774,False,False
