outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions,area
rf_area_deg2,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",245.24673191374936,27.55442057389259,5.5620912094594515e-19,191.2410599740504,299.2524038534483,9819,54,RL
rf_area_deg2,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",379.72912878957527,30.22347692638498,3.3286936255004564e-36,320.4922025262834,438.96605505286715,9819,54,AL
rf_area_deg2,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",302.60850652324757,30.448375732697624,2.833069457309824e-23,242.93078669941684,362.2862263470783,9819,54,PM
rf_area_deg2,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",386.1911581142148,19.96217907340167,2.1968226051425183e-83,347.06600607740836,425.3163101510212,9819,54,AM
rf_area_deg2,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",137.82526730505325,22.175590571510607,5.126613811267996e-10,94.36190844898647,181.28862616112002,9819,54,LM
rf_area_deg2,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",182.5639009664955,26.76085741136998,8.975056300162402e-12,130.11358424479857,235.01421768819245,9819,54,RL
rf_area_deg2,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",314.68642661443766,30.77332844889824,1.517374884837778e-24,254.37181117017528,375.0010420587001,9819,54,AL
rf_area_deg2,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",227.2095138508131,33.658205319522864,1.4734259018290573e-11,161.24064364029383,293.1783840613324,9819,54,PM
rf_area_deg2,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",328.2312665623337,19.59124628938125,5.296518299956082e-63,289.83312942289245,366.62940370177495,9819,54,AM
rf_area_deg2,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",121.91815402675255,23.302080545353025,1.6762078729343144e-07,76.24691539300915,167.58939266049595,9819,54,LM
rf_area_deg2,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",199.1959629490381,27.239983465990388,2.6196057371146026e-13,145.80657641623037,252.5853494818458,9819,54,RL
rf_area_deg2,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",300.2078189415919,29.754180119447057,6.141837329087456e-24,241.89069751795796,358.5249403652258,9819,54,AL
rf_area_deg2,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",214.2174083189145,34.38919889290245,4.688046564036612e-10,146.815817031641,281.618999606188,9819,54,PM
rf_area_deg2,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",319.906653930427,19.898533638303352,3.7048310224820356e-58,280.9062446541937,358.9070632066603,9819,54,AM
rf_area_deg2,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]",205.25988308391976,25.32225818099808,5.235325495028128e-16,155.62916904193878,254.89059712590074,9819,54,LM
rf_area_deg2,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.RL]",342.45572653743756,33.465362253326084,1.408765681589998e-24,276.86482179133225,408.04663128354287,9819,54,RL
rf_area_deg2,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AL]",378.23659546147536,30.9010069807956,1.894070518591976e-34,317.6717346930952,438.80145622985555,9819,54,AL
rf_area_deg2,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.PM]",306.1218453413767,30.576835412526492,1.3559623463550998e-23,246.19234917161583,366.05134151113754,9819,54,PM
rf_area_deg2,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AM]",390.3499243501395,19.823366291903902,2.5550610990299823e-86,351.4968403656625,429.20300833461647,9819,54,AM
